crop,state,site,year,transect,bumble_bee,honey_bee,other_bee,syrphid,wasp,other_insect,wild_bees,all_bees,number_of_fruit_mean,number_of_flowers_mean,number_fruit_per_flower_mean,fruit_wt_mean
cherry_tart,mi,1,2013,0,1,13,8,0,1,0,9,22,26,122.6,0.215641758,9.12
cherry_tart,mi,1,2013,25,0,29,4,0,0,0,4,33,11.5,96,0.126060822,6.74
cherry_tart,mi,1,2013,50,0,13,3,0,0,0,3,16,21,107.8,0.204693383,6.78
cherry_tart,mi,1,2013,100,0,14,3,0,0,0,3,17,25,109.8,0.224074792,6.36
cherry_tart,mi,1,2014,0,2,26,0,0,0,0,2,28,84.7,351.5,0.256026051,NA
cherry_tart,mi,1,2014,25,2,25,0,0,0,0,2,27,78,517.3,0.170184796,NA
cherry_tart,mi,1,2014,50,3,24,0,0,0,0,3,27,89.1,367.1,0.22082677,NA
cherry_tart,mi,1,2014,100,1,32,0,0,0,0,1,33,104.8,374.5,0.299804582,NA
cherry_tart,mi,1,2015,0,1,15,12,10,0,0,13,28,50.5,284.9,0.182694223,NA
cherry_tart,mi,1,2015,25,0,22,7,9,0,0,7,29,61.6,365.1,0.163772933,NA
cherry_tart,mi,1,2015,50,0,28,9,3,0,0,9,37,60.7,342.6,0.180163482,NA
cherry_tart,mi,1,2015,100,0,26,6,5,0,0,6,32,70.9,368.7,0.191945329,NA
cherry_tart,mi,2,2013,0,18,66,46,24,0,17,64,130,21.4,62,0.353784645,17.8
cherry_tart,mi,2,2013,25,3,78,34,8,0,0,37,115,23.3,76.8,0.317192391,19.8
cherry_tart,mi,2,2013,100,4,47,46,10,0,0,50,97,31.2,123.2,0.256904623,13.6
cherry_tart,mi,2,2014,0,0,43,0,0,0,0,0,43,73.8,235.3,0.299800317,NA
cherry_tart,mi,2,2014,25,0,49,0,0,0,0,0,49,43.3,186.6,0.270899116,NA
cherry_tart,mi,2,2014,50,3,68,0,0,0,0,3,71,78.1,221.8,0.411892056,NA
cherry_tart,mi,2,2014,100,1,94,0,0,0,0,1,95,66.1,177.5,0.435901027,NA
cherry_tart,mi,2,2015,0,0,64,161,0,0,0,161,225,90.6,328.3,0.271257705,NA
cherry_tart,mi,2,2015,25,0,141,119,0,0,0,119,260,84.4,325.4,0.264221765,NA
cherry_tart,mi,2,2015,50,0,141,75,0,0,0,75,216,104.9,407.7,0.264791775,NA
cherry_tart,mi,2,2015,100,0,143,56,2,0,0,56,199,81.5,335.2,0.256253688,NA
cherry_tart,mi,3,2013,0,5,79,75,31,0,0,80,159,22.3,75.4,0.289000707,17.6
cherry_tart,mi,3,2013,25,2,58,87,18,1,0,89,147,17.4,52.9,0.339242333,14
cherry_tart,mi,3,2013,100,0,78,68,20,0,0,68,146,17.2,65.6,0.278008253,16.2
cherry_tart,mi,3,2014,0,1,34,0,0,0,0,1,35,72.9,288.5,0.269200359,NA
cherry_tart,mi,3,2014,25,3,23,0,0,0,0,3,26,82.2,201.2,0.479569315,NA
cherry_tart,mi,3,2014,50,1,35,0,0,0,0,1,36,126.4,228.2,0.580425815,NA
cherry_tart,mi,3,2014,100,4,41,0,0,0,0,4,45,109.3,456.1,0.378137092,NA
cherry_tart,mi,3,2015,0,0,83,72,4,0,0,72,155,115.4444444,340.3,0.382324442,NA
cherry_tart,mi,3,2015,25,1,103,82,2,0,0,83,186,168.4,469.7,0.360639749,NA
cherry_tart,mi,3,2015,50,0,99,102,2,0,0,102,201,127.9,455.5,0.308494989,NA
cherry_tart,mi,3,2015,100,0,74,59,2,0,0,59,133,141,470.7,0.3276808,NA
cherry_tart,mi,4,2013,0,0,5,19,1,0,0,19,24,17.8,111.8,0.165577654,8.1
cherry_tart,mi,4,2013,25,1,6,30,1,0,0,31,37,21.9,98.3,0.227436203,11.96
cherry_tart,mi,4,2013,50,0,5,43,0,0,0,43,48,16.3,105.7,0.139981586,9.1
cherry_tart,mi,4,2013,100,1,10,47,0,0,0,48,58,21.9,114.6,0.194384452,9.58
cherry_tart,mi,4,2014,0,12,29,0,0,0,0,12,41,31.3,291.1,0.115995973,NA
cherry_tart,mi,4,2014,25,4,51,0,0,0,0,4,55,40.7,355.2,0.10856734,NA
cherry_tart,mi,4,2014,50,7,59,0,0,0,0,7,66,65.1,414.1,0.147045232,NA
cherry_tart,mi,4,2014,100,7,109,0,0,0,0,7,116,65.3,372.6,0.156525752,NA
cherry_tart,mi,4,2015,0,1,3,24,1,0,0,25,28,4.6,256.3,0.014910044,NA
cherry_tart,mi,4,2015,25,1,9,33,0,0,0,34,43,9.8,422.5,0.019906378,NA
cherry_tart,mi,4,2015,50,1,11,35,0,0,0,36,47,15.1,503.1,0.031014802,NA
cherry_tart,mi,4,2015,100,0,10,34,0,0,0,34,44,13.5,385.6,0.037809615,NA
cherry_tart,mi,5,2013,0,0,2,11,0,0,0,11,13,4.5,64.8,0.079336321,2.78
cherry_tart,mi,5,2013,25,1,6,14,0,0,0,15,21,9.8,77.9,0.133291175,3.16
cherry_tart,mi,5,2013,50,0,6,14,1,0,0,14,20,13,65.8,0.231934996,3.14
cherry_tart,mi,5,2013,100,0,7,3,0,0,0,3,10,18.1,80.5,0.22061003,5.44
cherry_tart,mi,5,2014,0,4,78,0,0,0,0,4,82,29.2,258.7,0.13658564,NA
cherry_tart,mi,5,2014,25,7,97,0,0,0,0,7,104,78.2,243,0.304052123,NA
cherry_tart,mi,5,2014,50,4,124,0,0,0,0,4,128,84.5,277.1,0.315666497,NA
cherry_tart,mi,5,2014,100,3,137,0,0,0,0,3,140,163.5,585.8,0.277633024,NA
cherry_tart,mi,5,2015,0,3,76,62,7,0,0,65,141,48,271.5,0.179627714,NA
cherry_tart,mi,5,2015,25,3,84,159,6,0,0,162,246,36.4,92.4,0.374966796,NA
cherry_tart,mi,5,2015,50,0,116,135,6,0,0,135,251,23,90.9,0.246377121,NA
cherry_tart,mi,5,2015,100,2,123,160,2,0,0,162,285,49.2,197.3,0.24511404,NA
