country,crop,pollinator,guild
Argentina,Citrus limon,Apis melifera,honeybees
Argentina,Citrus limon,Bombus atratus,bumblebees
Argentina,Citrus limon,Coleoptera 1,beetles
Argentina,Citrus limon,Coleoptera 2,beetles
Argentina,Citrus limon,Diptero 1,other_flies
Argentina,Citrus limon,Diptero 2,other_flies
Argentina,Citrus limon,Diptero 3,other_flies
Argentina,Citrus limon,Diptero 5,other_flies
Argentina,Citrus limon,Halictidae 1,other_wild_bees
Argentina,Citrus limon,Halictidae 2,other_wild_bees
Argentina,Citrus limon,Ligaidae,other
Argentina,Citrus limon,Mosca domestica,other_flies
Argentina,Citrus limon,Papilio thoas,lepidoptera
Argentina,Citrus limon,Pirpinto amarillo,lepidoptera
Argentina,Citrus limon,Plebeia sp,other_wild_bees
Argentina,Citrus limon,Syrphido,syrphids
Argentina,Citrus limon,Xylocopa eximia,other_wild_bees
Argentina,Citrus paradisi,Andrenidae,other_wild_bees
Argentina,Citrus paradisi,Apis mellifera,honeybees
Argentina,Citrus paradisi,Bombini,other_wild_bees
Argentina,Citrus paradisi,Coleoptera,beetles
Argentina,Citrus paradisi,Diptera,other_flies
Argentina,Citrus paradisi,Halictini,other_wild_bees
Argentina,Citrus paradisi,Hemiptera,other
Argentina,Citrus paradisi,Lepidotera,lepidoptera
Argentina,Citrus paradisi,Megachilidae,other_wild_bees
Argentina,Citrus paradisi,Meliponini,other_wild_bees
Argentina,Citrus paradisi,Vespid,non_bee_hymenoptera
Argentina,Rubus idaeus,Apis mellifera,honeybees
Argentina,Rubus idaeus,Bombus terrestris,bumblebees
Argentina,Rubus idaeus,Ruizantheda proxima,other_wild_bees
Argentina,Rubus idaeus,Ruizanthedella mutabilis,other_wild_bees
Argentina,Vaccinium corymbosum,Allograpta sp1,syrphids
Argentina,Vaccinium corymbosum,Allograpta sp2,syrphids
Argentina,Vaccinium corymbosum,Apis mellifera,honeybees
Argentina,Vaccinium corymbosum,Bombus atratus,bumblebees
Argentina,Vaccinium corymbosum,Syrphus ribessi,syrphids
Argentina,Vaccinium corymbosum,Toxomerus sp1,syrphids
Argentina,Vaccinium corymbosum,Vespidae sp2,non_bee_hymenoptera
Australia,Mangifera indica,Allograpta sp.,syrphids
Australia,Mangifera indica,Apis mellifera,honeybees
Australia,Mangifera indica,Chrysomya sp,other_flies
Australia,Mangifera indica,Eristalinus sp,syrphids
Australia,Mangifera indica,Lucilia sp,other_flies
Australia,Mangifera indica,Stomorhina discolour,other_flies
Australia,Mangifera indica,Stomorhina xanthogaster,non_bee_hymenoptera
Australia,Mangifera indica,Syritta sp,syrphids
Australia,Mangifera indica,Tenebrionidae sp,beetles
Australia,Mangifera indica,Tetragonula carbonaria,other_wild_bees
Brazil,Anacardium occidentale,Apis mellifera,honeybees
Brazil,Anacardium occidentale,Brachygastra lecheguana,non_bee_hymenoptera
Brazil,Anacardium occidentale,Diptera spp.,other_flies
Brazil,Anacardium occidentale,Scaptotrigona sp.1,other_wild_bees
Brazil,Anacardium occidentale,Trigona spinipes,other_wild_bees
Brazil,Anacardium occidentale,Xylocopa cearensis,other_wild_bees
Brazil,Annona squamosa,Apis mellifera,honeybees
Brazil,Bixa orellana,Augochloropsis sp.,other_wild_bees
Brazil,Bixa orellana,Euglossa sp.,other_wild_bees
Brazil,Bixa orellana,Eulaema nigrita,other_wild_bees
Brazil,Bixa orellana,Exomalopsis analis,other_wild_bees
Brazil,Bixa orellana,Megalopta sp.,other_wild_bees
Brazil,Bixa orellana,Melipona subnitida,other_wild_bees
Brazil,Bixa orellana,Trigona spinipes,other_wild_bees
Brazil,Bixa orellana,Xylocopa frontalis,other_wild_bees
Brazil,Bixa orellana,Xylocopa griscescens,other_wild_bees
Brazil,Bixa orellana,Xylocopa muscaria,other_wild_bees
Brazil,Coffea arabica,Apis mellifera,honeybees
Brazil,Coffea arabica,Bombus brevivillus,bumblebees
Brazil,Coffea arabica,Trigona spinipes,other_wild_bees
Brazil,Malpighia emarginata,Centris aenea,other_wild_bees
Brazil,Malpighia emarginata,Centris analis,other_wild_bees
Brazil,Malpighia emarginata,Centris flavifrons,other_wild_bees
Brazil,Malpighia emarginata,Centris fuscata,other_wild_bees
Brazil,Malpighia emarginata,Centris tarsata,other_wild_bees
Brazil,Malpighia emarginata,Trigona spinipes,other_wild_bees
Brazil,Phaseolus vulgaris L.,Allograpta exotica cf.,syrphids
Brazil,Phaseolus vulgaris L.,"Apis mellifera Linnaeus, 1758",honeybees
Brazil,Phaseolus vulgaris L.,Apoidea sp.1,other_wild_bees
Brazil,Phaseolus vulgaris L.,"Paratrigona lineata Lepeletier, 1836",other_wild_bees
Brazil,Phaseolus vulgaris L.,"Trigona spinipes Fabricius, 1793",other_wild_bees
France,Allium porrum,Apis mellifera,honeybees
France,Allium porrum,Bombus lapidarius,bumblebees
France,Allium porrum,Bombus terrestris,bumblebees
France,Allium porrum,Eristalis tenax,syrphids
France,Allium porrum,Platycheirus sp.,syrphids
France,Allium porrum,Polistes dominula,non_bee_hymenoptera
France,Helianthus annuus,Apis mellifera,honeybees
France,Helianthus annuus,Bombus lapidarius,bumblebees
France,Helianthus annuus,Bombus sp.,bumblebees
France,Helianthus annuus,Bombus terrestris-complex,bumblebees
France,Helianthus annuus,Lasioglossum malachurum,other_wild_bees
Germany,Malus domestica,Andrena cineraria,other_wild_bees
Germany,Malus domestica,Andrena sp.,other_wild_bees
Germany,Malus domestica,Apis mellifera,honeybees
Germany,Malus domestica,Bombus terrestris,bumblebees
India,Coffea canephora,Apis cerana,other_wild_bees
India,Coffea canephora,Apis cerana indica,other_wild_bees
India,Coffea canephora,Apis dorsata,honeybees
India,Coffea canephora,Apis dorsata,other_wild_bees
India,Coffea canephora,Apis florea,honeybees
India,Coffea canephora,Ceratina hieroglyphica,other_wild_bees
India,Coffea canephora,Tetragonula iridipennis,other_wild_bees
India,Coffea canephora,Thysanoptera (Thrips),other
Ireland,Brassica napus,Andrena,other_wild_bees
Ireland,Brassica napus,Apis mellifera,honeybees
Ireland,Brassica napus,Bombus lapidarius,bumblebees
Ireland,Brassica napus,Bombus pascuorum,bumblebees
Ireland,Brassica napus,Bombus terrestris/lucorum,bumblebees
Ireland,Brassica napus,Eristalis,syrphids
Ireland,Brassica napus,Helophilus,syrphids
Ireland,Brassica napus,Melanostoma,syrphids
Ireland,Brassica napus,Rhingia campestris,syrphids
Italy,Allium porrum,Andrena flavipes,other_wild_bees
Italy,Allium porrum,Andrena lepida,other_wild_bees
Italy,Allium porrum,Andrena pilipes,other_wild_bees
Italy,Allium porrum,Apis mellifera,honeybees
Italy,Allium porrum,Lasioglossum malachurum,other_wild_bees
Italy,Allium porrum,Polistes dominula,non_bee_hymenoptera
Italy,Allium porrum,Sphaerophoria scripta,syrphids
Italy,Allium porrum,Syritta pipiens,syrphids
Japan,Fagopyrum esculentum,Apis cerana,other_wild_bees
Japan,Fagopyrum esculentum,Apis mellifera,honeybees
Japan,Fagopyrum esculentum,Formica japonica,non_bee_hymenoptera
Japan,Fagopyrum esculentum,Gametis jucunda,beetles
Japan,Fagopyrum esculentum,Parnara guttata,lepidoptera
Japan,Fagopyrum esculentum,Sphaerophoria sp.,syrphids
Japan,Fagopyrum esculentum,Stomorhina obsoleta,other_flies
Japan,Fagopyrum esculentum,Tachinidae sp.,other_flies
Netherlands,Malus domestica,Apis  mellifera,honeybees
Netherlands,Malus domestica,Bombus  lapidarius,bumblebees
Netherlands,Malus domestica,Bombus  pascuorum,bumblebees
Netherlands,Malus domestica,Bombus  terrestris-complex,bumblebees
Netherlands,Malus domestica,Bombus  terrestris/lucorum,bumblebees
Netherlands,Malus domestica,Eristalis  pertinax,syrphids
Netherlands,Malus domestica,Melanostoma  mellinum,syrphids
Netherlands,Vaccinium corymbosum,Apis mellifera,honeybees
Netherlands,Vaccinium corymbosum,Bombus hortorum,bumblebees
Netherlands,Vaccinium corymbosum,Bombus hypnorum,bumblebees
Netherlands,Vaccinium corymbosum,Bombus lapidarius,bumblebees
Netherlands,Vaccinium corymbosum,Bombus pascuorum,bumblebees
Netherlands,Vaccinium corymbosum,Bombus pratorum,bumblebees
Netherlands,Vaccinium corymbosum,Bombus terrestris,bumblebees
South Africa,Helianthus annuus,Apis mellifera L.,honeybees
South Africa,Helianthus annuus,Carpophilus sp.,beetles
South Africa,Helianthus annuus,Dioxyna sororcula,other_flies
South Africa,Helianthus annuus,Hypolimnas misippus,lepidoptera
South Africa,Helianthus annuus,Lasioglossum sp.,other_wild_bees
South Africa,Helianthus annuus,Sarcophagidae sp.,other_flies
South Africa,Mangifera indica,Apis mellifera,honeybees
South Africa,Mangifera indica,Betassyrphus adligatus,syrphids
South Africa,Mangifera indica,Camponotus sp_1__,non_bee_hymenoptera
South Africa,Mangifera indica,Ceratina sp. (Ceratina lunata Friese or Ceratina moerenhouti Vachal),other_wild_bees
South Africa,Mangifera indica,Ceratina.sp...inc. labrosa_Friese.,other_wild_bees
South Africa,Mangifera indica,Empididae sp1,other_flies
South Africa,Mangifera indica,Ischiodon aegyptius,syrphids
South Africa,Mangifera indica,Lasioglossum sp1_cf_,other_wild_bees
South Africa,Mangifera indica,Nitulidae sp_,beetles
South Africa,Mangifera indica,Rhyncomya forcipata,other_flies
Sweden,Brassica napus,Apis mellifera,honeybees
Sweden,Brassica napus,Bombus sp,bumblebees
Sweden,Brassica napus,Bombus terrestris,bumblebees
Sweden,Brassica napus,Empis sp,other_flies
Sweden,Fragaria x ananassa,Apoidea,other_wild_bees
Sweden,Vicia faba,Bombus hortorum,bumblebees
Sweden,Vicia faba,Bombus hypnorum,bumblebees
Sweden,Vicia faba,Bombus lapidarius,bumblebees
Sweden,Vicia faba,Bombus pascuorum,bumblebees
Sweden,Vicia faba,Bombus sp,bumblebees
Sweden,Vicia faba,Bombus sylvarum,bumblebees
Sweden,Vicia faba,Bombus terrestris/lucorum,bumblebees
Tanzania,Coffea arabica,Apis mellifera,honeybees
Tanzania,Coffea arabica,Formicidae,non_bee_hymenoptera
Tanzania,Coffea arabica,Hymenoptera Nonbee_Aculeata,other_wild_bees
Tanzania,Coffea arabica,Lepidoptera,lepidoptera
Tanzania,Coffea arabica,Syrphidae,syrphids
UK,Brassica napus,Bibio spp. (st Marks fly),other_flies
UK,Brassica napus,Bombus lapidarius,bumblebees
UK,Brassica napus,Bombus terrestris or lucorum,bumblebees
UK,Brassica napus,Coccinellidae,beetles
UK,Brassica napus,Pollen beetle,beetles
UK,Fragaria x ananassa,Apis mellifera,honeybees
UK,Fragaria x ananassa,Bombus hypnorum,bumblebees
UK,Fragaria x ananassa,Bombus lapidarius,bumblebees
UK,Fragaria x ananassa,Bombus terrestris or lucorum,bumblebees
UK,Fragaria x ananassa,Lepidoptera,lepidoptera
UK,Malus domestica,Apis mellifera,honeybees
UK,Malus domestica,Bombus lapidarius,bumblebees
UK,Malus domestica,Bombus terrestris or lucorum,bumblebees
UK,Vicia faba,Andrena wilkella,other_wild_bees
UK,Vicia faba,Apis mellifera,honeybees
UK,Vicia faba,Bombus hortorum,bumblebees
UK,Vicia faba,Bombus lapidarius,bumblebees
UK,Vicia faba,Bombus pascuorum,bumblebees
UK,Vicia faba,Bombus pratorum,bumblebees
UK,Vicia faba,Bombus terrestris or lucorum,bumblebees
USA,Fragaria x ananassa,Andrena,other_wild_bees
USA,Fragaria x ananassa,Andrena nasonii,other_wild_bees
USA,Fragaria x ananassa,Apis mellifera,honeybees
USA,Fragaria x ananassa,Augochlorella,other_wild_bees
USA,Fragaria x ananassa,Augochlorella aurata,other_wild_bees
USA,Fragaria x ananassa,Ceratina,other_wild_bees
USA,Fragaria x ananassa,Ceratina calcarata,other_wild_bees
USA,Fragaria x ananassa,Ceratina dupla,other_wild_bees
USA,Fragaria x ananassa,Ceratina sp,other_wild_bees
USA,Fragaria x ananassa,Halictus,other_wild_bees
USA,Fragaria x ananassa,Halictus confusus,other_wild_bees
USA,Fragaria x ananassa,Hylaeus sp,other_wild_bees
USA,Fragaria x ananassa,Large Andrena sp.,other_wild_bees
USA,Fragaria x ananassa,Lasioglossum,other_wild_bees
USA,Fragaria x ananassa,Lasioglossum hitchensi,other_wild_bees
USA,Fragaria x ananassa,Lasioglossum sp,other_wild_bees
USA,Fragaria x ananassa,Nomada sp,other_wild_bees
USA,Fragaria x ananassa,Osmia sp,other_wild_bees
USA,Gossypium hirsutum,Allograpta exotica,syrphids
USA,Gossypium hirsutum,Apis mellifera,honeybees
USA,Gossypium hirsutum,Melissodes tepanaca,other_wild_bees
USA,Gossypium hirsutum,Strymon melinus,lepidoptera
USA,malus domestica,Andrena carlini,other_wild_bees
USA,malus domestica,Andrena cressonii,other_wild_bees
USA,malus domestica,Andrena hippotes,other_wild_bees
USA,malus domestica,Andrena imitatrix,other_wild_bees
USA,malus domestica,Andrena miserabilis,other_wild_bees
USA,malus domestica,Andrena nasonii,other_wild_bees
USA,malus domestica,Andrena perplexa,other_wild_bees
USA,malus domestica,Lasioglossum hitchensi,other_wild_bees
